市州代码,市州名称,招录机关名称,招录职位名称,招录职位编码,缴费状况（缴费人数与招录名额的比例区间）
15101,成都市,成都市发展和改革委员会,成都市政府投资项目评审中心-项目评审管理,26101001,≥ 5:1 且 < 30:1
15101,成都市,成都市人力资源和社会保障局,成都市社会保险事业管理局-法律事务,26101002,≥ 5:1 且 < 30:1
15101,成都市,成都市人力资源和社会保障局,成都市社会保险事业管理局-信息建设,26101003,≥ 100:1
15101,成都市,成都市人力资源和社会保障局,成都市社会保险事业管理局-业务经办,26101004,≥ 50:1 且 < 100:1
15101,成都市,成都市人力资源和社会保障局,成都市社会保险事业管理局-政策研究,26101005,≥ 30:1 且 < 50:1
15101,成都市,成都市公园城市建设管理局,成都市林业和草原有害生物防治检疫站-财务管理,26101026,≥ 5:1 且 < 30:1
15101,成都市,成都市生态环境局,成都市生态环境保护综合行政执法总队专项执法支队青白江大队-自然资源执法,26201006,≥ 5:1 且 < 30:1
15101,成都市,成都市生态环境局,成都市生态环境保护综合行政执法总队专项执法支队（一）-自然资源执法,26201007,≥ 30:1 且 < 50:1
15101,成都市,成都市生态环境局,成都市生态环境保护综合行政执法总队专项执法支队（二）-自然资源执法,26201008,< 5:1
15101,成都市,成都市生态环境局,成都市县（市）生态环境保护综合行政执法大队-行政执法,26201009,< 5:1
15101,成都市,成都市生态环境局,成都市生态环境保护综合行政执法总队派出支队-行政执法,26201010,< 5:1
15101,成都市,成都市生态环境局,成都市生态环境行政执法单位（一）-行政执法,26201011,≥ 5:1 且 < 30:1
15101,成都市,成都市生态环境局,成都市生态环境行政执法单位（二）-行政执法,26201012,≥ 5:1 且 < 30:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队公路水运支队-工程监管,26201013,≥ 5:1 且 < 30:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队综合保障支队-综合保障,26201014,≥ 5:1 且 < 30:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队内设支队（一）-交通执法,26201015,< 5:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队内设支队（二）-交通执法,26201016,≥ 5:1 且 < 30:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队内设支队（三）-交通执法,26201017,≥ 5:1 且 < 30:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队内设支队（四）-交通执法,26201018,≥ 5:1 且 < 30:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队派出支队（一）-交通执法,26201019,≥ 5:1 且 < 30:1
15101,成都市,成都市交通运输局,成都市交通运输综合行政执法总队派出支队（二）-交通执法,26201020,< 5:1
15101,成都市,成都市农业农村局,成都市农业综合行政执法总队三支队-农业执法,26201021,≥ 50:1 且 < 100:1
15101,成都市,成都市农业农村局,成都市农业综合行政执法总队四支队-农业执法,26201022,< 5:1
15101,成都市,成都市农业农村局,成都市农业综合行政执法总队派出机构（一）-农业执法,26201023,≥ 5:1 且 < 30:1
15101,成都市,成都市农业农村局,成都市农业综合行政执法总队派出机构（二）-农业执法,26201024,< 5:1
15101,成都市,成都市农业农村局,成都市农业综合行政执法总队派出机构（三）-农业执法,26201025,≥ 5:1 且 < 30:1
15101,成都市,成都市应急管理局,成都市应急管理综合行政执法总队-应急执法（一）,26201027,≥ 5:1 且 < 30:1
15101,成都市,成都市应急管理局,成都市应急管理综合行政执法总队-应急执法（二）,26201028,≥ 5:1 且 < 30:1
15101,成都市,成都市人民政府火车站地区管理委员会办公室,成都市城市管理行政执法总队火车站支队-行政执法（一）,26201029,< 5:1
15101,成都市,成都市人民政府火车站地区管理委员会办公室,成都市城市管理行政执法总队火车站支队-行政执法（二）,26201030,≥ 30:1 且 < 50:1
15101,成都市,成都市人民政府火车站地区管理委员会办公室,成都市城市管理行政执法总队火车站支队-行政执法（三）,26201031,≥ 50:1 且 < 100:1
15101,成都市,成都市文化广电旅游局,成都市文化市场综合行政执法总队（一）-文化执法,26201032,≥ 5:1 且 < 30:1
15101,成都市,成都市文化广电旅游局,成都市文化市场综合行政执法总队（二）-文化执法,26201033,≥ 5:1 且 < 30:1
15101,成都市,成都市锦江区,成都市城市管理行政执法总队锦江支队-综合管理,26201047,≥ 50:1 且 < 100:1
15101,成都市,成都市锦江区,成都市应急管理综合行政执法总队锦江支队-安全管理,26201048,≥ 5:1 且 < 30:1
15101,成都市,成都市锦江区,成都市锦江区人民政府政务服务中心-经济管理,26301044,≥ 30:1 且 < 50:1
15101,成都市,成都市锦江区,成都市锦江区人民政府政务服务中心-产业服务（一）,26301045,≥ 30:1 且 < 50:1
15101,成都市,成都市锦江区,成都市锦江区人民政府政务服务中心-产业服务（二）,26301046,≥ 50:1 且 < 100:1
15101,成都市,成都市青羊区,成都市城市管理行政执法总队青羊支队-综合执法（一）,26201051,< 5:1
15101,成都市,成都市青羊区,成都市城市管理行政执法总队青羊支队-综合执法（二）,26201052,< 5:1
15101,成都市,成都市青羊区,成都市应急管理综合行政执法总队青羊支队-应急执法（一）,26201053,< 5:1
15101,成都市,成都市青羊区,成都市应急管理综合行政执法总队青羊支队-应急执法（二）,26201054,< 5:1
15101,成都市,成都市青羊区,成都市市场监管综合行政执法总队青羊支队-食品药品稽查（一）,26201055,≥ 30:1 且 < 50:1
15101,成都市,成都市青羊区,成都市市场监管综合行政执法总队青羊支队-食品药品稽查（二）,26201056,≥ 50:1 且 < 100:1
15101,成都市,成都市青羊区,成都市青羊区财政国库集中收付中心-工程造价评审,26301049,≥ 30:1 且 < 50:1
15101,成都市,成都市青羊区,成都市青羊区参照管理单位-综合管理,26301050,≥ 30:1 且 < 50:1
15101,成都市,成都市金牛区,成都市市场监管综合行政执法总队金牛支队-市场执法（一）,26201061,≥ 5:1 且 < 30:1
15101,成都市,成都市金牛区,成都市市场监管综合行政执法总队金牛支队-市场执法（二）,26201062,≥ 30:1 且 < 50:1
